id,Smiles,Tg,Tm,Eg
4568,[*]Oc1ccc(cc1)CC(NC(=O)CCc1ccc(cc1)OC(=O)CC(CCC(=O)[*])C)C(=O)OCCCC,35.0,,
7963,[*]OC(=O)Nc1ccc(cc1)C(=O)OCC1CCC(CC1)C[*],,251.0,
11143,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OC(C)C)cc1,,,5.0034
9421,[*]CC(O)COc1ccc(O[*])cc1,,,4.7923
11689,[*]CCCCOC(=O)OCC1CCC(COC(=O)O[*])CC1,,,7.0222
1625,[*]c1cc2c(C(=O)N(C2=O)c2cc(ccc2)C(C(C(c2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C(C(C(C([*])(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)cc1,159.0,,
11768,[*]Nc1ccc([*])cc1CO,,,3.7131
8780,[*][SiH2]c1ccc(cc1)[*],,97.0,
4651,[*]c1nc2c(nc1c1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)Oc1ccc(cc1)[*])cccc2,245.0,,
10429,[*]C=C([*])c1ccc2ccc3cccc4ccc1c2c34,,,0.1296
9437,[*]CCCCCCCCCCc1nnc([*])o1,,,6.3926
6734,[*][Si](C(CC[*])c1ccccc1)(C)C,5.67,,
1186,[*]Oc1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)[*],267.0,533.425,
12074,[*]CC(=O)C(C=C1)=CC=C1C(=S)[*],,,2.7253
12397,[*]CCCC(C)O[Si](C)(C)O[*],,,6.2127
4641,[*]OC(=O)c1cc(ccc1)C(=O)OCCN(CC[*])c1ccc(cc1)N=Nc1ccc(cc1)c1nc2c(n1CC)cc(cc2)[N+](=O)[O-],147.0,,
1994,[*]O[Si](CCC(CC[Si]([*])(CCC(F)(F)F)C)(F)F)(CCC(F)(F)F)C,-38.0,,
4238,[*]Oc1ccc(cc1)C1(c2ccccc2c2ccccc12)c1ccc(cc1)OC(=O)CCCCC(=O)[*],166.0,,
2116,[*]C(C[*])C1CCC(CC1)C(C)(C)C,131.0,,
7319,[*]NC(=O)C(=O)NCCCCCCNC(=O)CCCCCCCC(=O)NCCCCCC[*],,254.0,
5566,[*]c1cc2c(C(=O)N(C2=O)c2ccc(cc2)c2c(cc(cc2c2ccc(cc2)c2ccccc2)c2ccc(cc2)OCCCCCCCCCCOc2ccc(cc2)c2cc(c(c(c2)c2ccc(cc2)c2ccccc2)c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)[*])c2ccc(cc2)c2ccccc2)c2ccc(cc2)c2ccccc2)cc1,103.5,,
4289,[*]OC(C(=O)OCC(=O)[*])C,43.0,,
8527,[*]Oc1ccc(cc1)C(c1ccc(cc1)OCC(=O)OC(=O)c1ccc(cc1)C(=O)OC(=O)C[*])(C)C,,260.25,
3664,[*]O[Si](O[Si](O[Si](O[Si](OC1=C(c2c3c(ccc2)cccc13)[*])(C)C)(C)C)(C)C)(C)C,-43.0,,
9488,[*]c1ccc(-c2ccc(-c3nc4cc(Oc5ccc6nc(-c7ccccc7)c([*])nc6c5)ccc4nc3-c3ccccc3)cc2)cc1,,,3.1965
6379,[*]Nc1cc(ccc1)NC(=O)c1ccc(cc1)C(=O)Nc1cc(ccc1)NC(=S)NC(=O)CCCCCCCCC(=O)NC(=S)[*],248.0,,
5582,[*]c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)c2cc(cc(c2)C(C)(C)C)C(=O)[*])cc1,252.5,,
4410,[*]Oc1ccc(cc1)CC(NC(=O)CCc1ccc(cc1)OC(=O)CCCC(=O)[*])C(=O)OCC,67.67,,
10436,[*]CC([*])C(=O)NCCC,,,6.0177
662,[*]Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)[*],223.95,,
23,[*]C(C[*])CCCCCC,-56.48,0.54,
8657,[*]S(=O)(=O)NCCCCCCNS(=O)(=O)c1ccc(cc1)[*],,245.0,
1755,[*]N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)Oc1cc2c(C(=O)N(C2=O)c2cc(ccc2)[*])cc1,255.0,,
6399,[*]C1C(=O)OC(=O)C1C1C2CC(C(C1[*])C2)COCCC,209.0,,
7523,[*]NC(=O)c1ccc(cc1)C(=O)NCC[*],,400.0,
7253,[*]N1C(CN(C(C1)C)C(=O)C1C(CCCC1)C(=O)[*])C,,307.5,
9193,[*]CC([*])(C)C(=O)OCC,,,6.4148
7191,[*]N(CC[*])C(=O)CCC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,226.0,
4241,[*]Oc1ccc(cc1)C1(c2ccccc2c2ccccc12)c1ccc(cc1)OC(=O)CCCCCCCCCC(=O)[*],136.0,,
3605,[*]Oc1ccc(cc1)NC(=O)c1c(ccc(c1)c1cc(c(cc1)C(=O)OCC)C(=O)Nc1ccc(cc1)[*])C(=O)OCC,190.15,,
9662,[*]CCCOC(=O)CCCCCCCCCC(=O)O[*],,,6.7744
278,[*]C(C[*])OC(=O)c1ccc(cc1)[Si](C)(C)C,125.25,329.6666667,
6169,[*]N1C(=O)C(CC1=O)Nc1ccc(cc1)NC1C(=O)N(C(=O)C1)c1ccc(cc1)Oc1c(cc(cc1C)C(c1cc(c(c(c1)C)Oc1ccc(cc1)[*])C)c1cnccc1)C,229.0,,
10804,[*]OC(=O)OCCOCCOC(=O)OC1COC2C([*])COC12,,,6.7329
1206,[*]OC(=O)CCC(CC[*])C,-53.0,,
7773,[*]OC(=O)CCCCCC(=O)OCCC[*],,43.16666667,
5428,[*]c1cc2c(C(=O)N(C2=O)c2cc(ccc2)Oc2ccc(cc2)S(=O)(=O)c2ccc(cc2)Oc2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C([*])(C(F)(F)F)C(F)(F)F)cc1,209.5,,
2140,[*]C(C[*])c1cc(ccc1)NC(=O)C,163.0,,
1207,[*]OC(CCCC(C(=O)[*])C)C,-33.0,,
8144,[*]OC(C([*])C)C,,114.5416667,
6190,[*]N1C(=O)c2c(C1=O)cc(cc2)NC(=O)OCCOc1ccc(cc1)C(c1ccc(cc1)OCCOC(=O)Nc1cc2c(C(=O)N(C2=O)c2cc(ccc2)P(=O)(c2cc(ccc2)[*])c2ccccc2)cc1)(C)C,220.0,,
2407,[*]C(C[*])C(=O)OCCCCCCCCCOC(=O)c1ccc(cc1)OC(=O)c1ccc(cc1)C#N,15.0,,
9735,[*]CC(CBr)(CBr)COC(=O)CCCCC(=O)O[*],,,6.0899
7260,[*]N1C(CN(C(C1)C)SC(=O)OCCCCOC(=O)S[*])C,,110.0,
1057,[*]SCCCCC(=O)NCc1ccc(cc1)CNC(=O)CCCC[*],70.0,242.0,
11608,[*]CC(c1ccccc1)C1C(=O)N(c2ccc(C(=O)Oc3ccc(C=O)cc3)cc2)C(=O)C1[*],,,4.2954
4337,[*]Oc1ccc(cc1)C(=O)Nc1c(ccc(c1)C(c1cc(c(cc1)C)NC(=O)c1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)[*])(C(F)(F)F)C(F)(F)F)C,214.0,,
5791,[*]N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C1(CCC(CC1)c1ccccc1)c1ccc(cc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Cc2ccc(cc2)[*])cc1,232.0,,
6492,[*]Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)Oc1ccc(cc1)Cc1ccc(cc1)OC(=O)[*])(C)C,107.8,,
10302,[*]CC1CC([*])CN(c2nc(N)nc(N)n2)C1,,,5.1254
11127,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OCC)cc1,,,5.0929
7417,[*]NC(=O)CCCCCCC(=O)NCCCCCCCC[*],,216.7,
2729,[*]C1C2C(C(C(C1[*])C2)C(=O)OCCc1ccccc1)C(=O)OCCc1ccccc1,254.0,,
6825,[*]c1c(cc(c(c1)OC)C=C[*])OCCCC,65.0,,
7106,[*]C1C(CC1)[*],,166.6666667,
11359,[*]CCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N[*],,,5.9137
3811,[*]Oc1ccc(cc1)C1(c2ccccc2c2ccccc12)c1ccc(cc1)OCCOC(=O)NC1CCC(CC1)CC1CCC(CC1)NC(=O)OCC[*],140.0,,
11501,[*]C(=O)Nc1ccc(Cc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,3.1109
11286,[*]CCCCCCNC(=O)CC(=O)N[*],,,5.7541
10617,[*]CC(CO[*])(CSC(C)C)CSC(C)C,,,4.6686
306,[*]C(C(C(C[*])OC)C(=O)O)C(=O)O,134.67,,
33,[*]C(C[*])CCCCCCCCCCCCCC,-24.0,55.58076923,
5848,[*]N1C(=O)C2C(C1=O)CC(CC2)C1CC2C(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)[*])CC1,257.0,,
5270,[*]Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)NC(=O)c1cc(cc(c1)C(C)(C)C)C(=O)NC(=O)[*])(C)C,123.5,,
1347,[*]NC1CCC(CC1)CC1CCC(CC1)NC(=O)CCCCCCCCCCC(=O)[*],139.67,287.6,
1537,[*]OC(=O)NCCCCCCNC(=O)OCCCCCCCC[*],58.0,157.0,
7183,[*]N(C(=O)c1ccc(cc1)C(=O)N(CCCCCC[*])C)C,,260.0,
3271,[*]Oc1ccc(cc1)C(=O)c1ccc(cc1)OCCCCCCOC(=O)OCCCCOC(=O)OCCCCCC[*],2.1,,
9115,[*]CC([*])c1cc(C)ccc1F,,,4.5949
11335,[*]N=Nc1ccc(NC(=O)CCC(=O)Nc2ccc([*])cc2)cc1,,,2.9351
7359,[*]NC(=O)C(C(=O)NCCCCCCCCC[*])CCCCCCCCCCCC,,127.0,
8689,[*]SC(=O)CCCCCCC(=O)SCCC[*],,104.6666667,
6463,[*]Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)OC1C(C(C1(C)C)OC(=O)[*])(C)C)(C(F)(F)F)C(F)(F)F,142.0,,
10126,[*]CCCCCCCCCCCCNC(=O)NCCCCCCCCCCNC(=O)N[*],,,5.6621
12029,[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],,,3.5671
7434,[*]NC(=O)CCCCCCCCC(=O)NCCCCCCC[*],,197.6666667,
4326,[*]Oc1ccc(cc1)OC(=O)c1c(cc(cc1)C(=O)[*])Oc1ccc(cc1)Br,112.5,318.0,
11044,[*]CCCCCOC(=O)CCC(C)CC(=O)O[*],,,6.7005
11404,[*]CCOC(=O)Nc1c(C)c(C)c(NC(=O)O[*])c(C)c1C,,,5.3419
2144,[*]C(C[*])c1ccc(cc1)C[Si](C)(C)C,82.0,,
6985,[*]C(C[*])(C(=O)OCC)CO,,262.0,
9358,[*]CCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCO[*],,,5.9383
